flow_key,total_packets,total_bytes,flow_duration,mean_packet_size,std_packet_size,min_packet_size,max_packet_size,mean_interarrival_time,std_interarrival_time,direction_ratio,burst_count,burst_avg_size,bytes_per_second,packets_per_second,burst_mean_size_variance,small_to_large_ratio,inter_burst_gap,source_pcap,label
"(6, '10.211.218.53', 59747, '10.211.218.77', 53)",13,696,0.1606500148773193,53.53846153846154,30.157574337814843,40,152,0.0133875012397766,0.0268752830623796,0.4755747126436782,1,13.0,4332.39922530665,80.92124989796903,0.0,13.0,0.0,nonai_009.pcap,non_ai
"(6, '10.211.218.53', 50772, '13.251.206.71', 443)",26,7462,19.524044036865234,287.0,455.3385891501299,40,1440,0.7809617614746094,3.750744858900048,0.4177164299115519,2,13.0,382.19540920468506,1.3316913212706798,20280.34917355372,6.666666666666667,19.15522503852844,nonai_009.pcap,non_ai
"(6, '10.211.218.53', 58870, '151.101.208.157', 443)",35,22381,10.725132942199709,639.4571428571429,866.5880663468047,40,2840,0.3154450865352855,1.7713530937310973,0.129886957687324,2,17.5,2086.780660026923,3.2633628122488854,120328.04694444446,1.818181818181818,10.490710973739624,nonai_009.pcap,non_ai
"(6, '10.211.218.53', 57448, '10.211.218.77', 53)",13,630,0.1526689529418945,48.46153846153846,15.067108265333797,40,90,0.0127224127451578,0.0276303201436929,0.5190476190476191,1,13.0,4126.5757566292905,85.15156323203298,0.0,13.0,0.0,non_ai_001.pcap,non_ai
"(17, '10.211.218.53', 51404, '10.211.218.77', 53)",2,177,0.0407130718231201,88.5,26.5,62,115,0.0407130718231201,0.0,0.3502824858757062,1,2.0,4347.498041144744,49.12427165135305,0.0,2.0,0.0,nonai_009.pcap,non_ai
"(6, '10.211.218.53', 51887, '10.211.218.77', 53)",13,716,0.1255340576171875,55.07692307692308,36.30100981528568,40,177,0.0104611714680989,0.0201986738879052,0.4553072625698324,1,13.0,5703.631457396378,103.5575543940683,0.0,13.0,0.0,nonai_009.pcap,non_ai
"(17, '10.221.8.170', 53, '10.221.8.53', 53490)",2,164,0.1703348159790039,82.0,14.0,68,96,0.1703348159790039,0.0,0.4146341463414634,2,1.0,962.8096232552672,11.741580771405696,196.0,2.0,0.1703348159790039,nonai_002.pcap,non_ai
"(6, '10.211.218.53', 59388, '10.211.218.77', 53)",13,671,0.1958107948303222,51.61538461538461,24.665573833673093,40,131,0.0163175662358601,0.037490966571032,0.4873323397913562,2,6.5,3426.777367312399,66.39061963496451,11.918934240362812,13.0,0.135308027267456,non_ai_001.pcap,non_ai
"(17, '10.221.8.170', 53, '10.221.8.53', 52304)",2,219,0.0364100933074951,109.5,43.5,66,153,0.0364100933074951,0.0,0.3013698630136986,1,2.0,6014.815676259699,54.92982352748584,0.0,2.0,0.0,nonai_001.pcap,non_ai
"(6, '10.211.218.53', 56041, '10.211.218.77', 53)",13,671,0.1430130004882812,51.61538461538461,25.427236945807245,40,135,0.0119177500406901,0.0234813378890818,0.481371087928465,1,13.0,4691.88114163777,90.90082688716991,0.0,13.0,0.0,nonai_009.pcap,non_ai
"(6, '10.211.218.53', 52218, '34.120.209.25', 443)",33,14108,9.298449039459229,427.5151515151515,821.1392352761044,40,4240,0.2905765324831009,1.5565785219366712,0.2168982137794159,2,16.5,1517.2422777315646,3.5489789598200763,45425.817777777775,3.8333333333333335,8.956531047821045,nonai_009.pcap,non_ai
"(6, '10.221.8.170', 53, '10.221.8.53', 58266)",13,711,0.337486982345581,54.69230769230769,33.7488110682541,40,166,0.028123915195465,0.0535977873682745,0.4669479606188467,2,6.5,2106.7479256783536,38.52000426697411,36.14299886621312,13.0,0.1936550140380859,nonai_001.pcap,non_ai
"(6, '10.211.218.53', 61125, '10.211.218.77', 53)",13,652,0.1310830116271972,50.15384615384615,19.63061249033158,40,109,0.0109235843022664,0.0222363921401601,0.5061349693251533,1,13.0,4973.947362868815,99.17379711241502,0.0,13.0,0.0,nonai_009.pcap,non_ai
"(6, '10.211.218.53', 58552, '10.211.218.77', 53)",13,799,0.2301480770111084,61.46153846153846,56.05576260037909,40,252,0.0191790064175923,0.0474066275772891,0.4180225281602002,2,6.5,3471.677931775356,56.48537310773419,169.92984693877548,12.0,0.1719419956207275,nonai_009.pcap,non_ai
"(17, '10.221.8.170', 53, '10.221.8.53', 49953)",2,228,0.0244431495666503,114.0,43.0,71,157,0.0244431495666503,0.0,0.3114035087719298,1,2.0,9327.76684028794,81.82251614287665,0.0,2.0,0.0,nonai_001.pcap,non_ai
"(6, '10.211.218.53', 60950, '10.211.218.77', 53)",13,675,0.127357006072998,51.92307692307692,25.475362271030352,40,134,0.0106130838394165,0.0220323097264333,0.4859259259259259,1,13.0,5300.061777623022,102.07526386533227,0.0,13.0,0.0,nonai_009.pcap,non_ai
"(17, '10.211.218.53', 54842, '10.211.218.77', 53)",2,228,0.0343689918518066,114.0,50.0,64,164,0.0343689918518066,0.0,0.2807017543859649,1,2.0,6633.886759992785,58.191989122743735,0.0,2.0,0.0,non_ai_001.pcap,non_ai
"(6, '10.211.218.53', 59278, '10.211.218.77', 53)",13,696,0.1569879055023193,53.53846153846154,29.782843240350477,40,150,0.0130823254585266,0.028046450519947,0.4784482758620689,1,13.0,4433.4625509715925,82.80892695780274,0.0,13.0,0.0,nonai_009.pcap,non_ai
"(6, '10.211.218.53', 62385, '10.211.218.77', 53)",13,652,0.1501331329345703,50.15384615384615,19.386141576061508,40,107,0.0125110944112141,0.0261210779847588,0.50920245398773,1,13.0,4342.812191124719,86.58981362671986,0.0,13.0,0.0,non_ai_001.pcap,non_ai
"(6, '10.211.218.53', 60582, '10.211.218.77', 53)",13,674,0.1458890438079834,51.84615384615385,24.71015410668925,40,130,0.0121574203173319,0.0244915168191472,0.4910979228486647,1,13.0,4619.949397208381,89.1088162666305,0.0,13.0,0.0,non_ai_001.pcap,non_ai
"(6, '10.211.218.53', 62619, '10.211.218.77', 53)",13,881,0.1333620548248291,67.76923076923077,78.11643562524405,40,336,0.0111135045687357,0.0218306196541446,0.376844494892168,1,13.0,6606.076977122109,97.47900193256234,0.0,12.0,0.0,nonai_009.pcap,non_ai
"(6, '10.211.218.53', 50452, '10.211.218.77', 53)",13,657,0.1449999809265136,50.53846153846154,20.0714699343482,40,108,0.0120833317438761,0.0246519974564186,0.5114155251141552,1,13.0,4531.0350787767975,89.65518420715124,0.0,13.0,0.0,nonai_009.pcap,non_ai
"(6, '10.211.218.53', 54734, '10.211.218.77', 53)",13,885,0.1751270294189453,68.07692307692308,79.6844367957484,40,342,0.0145939191182454,0.0332569294047514,0.3728813559322034,2,6.5,5053.474628881362,74.23183070673187,433.5318877551021,12.0,0.1172959804534912,nonai_009.pcap,non_ai
"(6, '10.211.218.53', 56497, '10.211.218.77', 53)",13,679,0.1442940235137939,52.23076923076923,24.989702021044423,40,129,0.0120245019594828,0.024567041808783,0.4963181148748159,1,13.0,4705.669600619947,90.09382151407851,0.0,13.0,0.0,nonai_009.pcap,non_ai
"(6, '10.211.218.53', 57062, '10.211.218.77', 53)",13,750,0.1329548358917236,57.69230769230769,45.37770481937751,40,212,0.0110795696576436,0.0217321739437459,0.4333333333333333,1,13.0,5641.013318318022,97.77756418417906,0.0,12.0,0.0,nonai_009.pcap,non_ai
"(17, '10.221.8.170', 53, '10.221.8.53', 61578)",2,199,0.0584690570831298,99.5,28.5,71,128,0.0584690570831298,0.0,0.3567839195979899,1,2.0,3403.509649848921,34.20612713416001,0.0,2.0,0.0,nonai_002.pcap,non_ai
"(6, '10.211.218.53', 51059, '10.211.218.77', 53)",13,706,0.1434130668640136,54.30769230769231,32.88297341829662,40,163,0.0119510889053344,0.0248804223704076,0.4674220963172804,1,13.0,4922.842914094009,90.64724912637692,0.0,13.0,0.0,non_ai_001.pcap,non_ai
