flow_key,total_packets,total_bytes,flow_duration,mean_packet_size,std_packet_size,min_packet_size,max_packet_size,mean_interarrival_time,std_interarrival_time,direction_ratio,burst_count,burst_avg_size,bytes_per_second,packets_per_second,source_pcap,label
"(17, '10.211.218.53', 62227, '10.211.218.77', 53)",2,226,0.19321894645690918,113.0,14.0,99,127,0.19321894645690918,0.0,0.43805309734513276,2,1.0,1169.657552451263,10.350951791604096,claude_007.pcap,claude
"(17, '10.211.218.53', 65006, '10.211.218.77', 53)",2,214,0.040354013442993164,107.0,8.0,99,115,0.040354013442993164,0.0,0.46261682242990654,1,2.0,5303.066082938963,49.5613652611118,claude_007.pcap,claude
"(17, '10.211.218.53', 53947, '10.211.218.77', 53)",2,219,0.15314602851867676,109.5,47.5,62,157,0.15314602851867676,0.0,0.2831050228310502,2,1.0,1430.00769995999,13.059431049862923,claude_007.pcap,claude
"(17, '10.211.218.53', 62908, '10.211.218.77', 53)",2,342,0.153609037399292,171.0,109.0,62,280,0.153609037399292,0.0,0.18128654970760233,2,1.0,2226.431502926509,13.020067268576076,claude_007.pcap,claude
"(17, '10.211.218.53', 52916, '10.211.218.77', 53)",2,294,0.15324687957763672,147.0,85.0,62,232,0.15324687957763672,0.0,0.2108843537414966,2,1.0,1918.4729947539065,13.050836699006167,claude_007.pcap,claude
"(17, '10.211.218.53', 61313, '10.211.218.77', 53)",2,149,0.13320183753967285,74.5,22.5,52,97,0.13320183753967285,0.0,0.348993288590604,2,1.0,1118.6031871040955,15.014807880591885,claude_007.pcap,claude
"(17, '10.211.218.53', 49191, '10.211.218.77', 53)",2,132,0.13286995887756348,66.0,14.0,52,80,0.13286995887756348,0.0,0.3939393939393939,2,1.0,993.4525540241559,15.052311424608423,claude_007.pcap,claude
"(17, '10.211.218.53', 50645, '10.211.218.77', 53)",2,152,0.13252997398376465,76.0,24.0,52,100,0.13252997398376465,0.0,0.34210526315789475,2,1.0,1146.910358698331,15.090925772346461,claude_007.pcap,claude
"(17, '10.211.218.77', 5353, '224.0.0.251', 5353)",8,840,140.25181889533997,105.0,0.0,105,105,20.03597412790571,0.08239896424437042,1.0,8,1.0,5.989227138842547,0.05704025846516711,claude_007.pcap,claude
"(17, '10.211.218.53', 61233, '10.211.218.77', 53)",2,207,0.02568197250366211,103.5,28.5,75,132,0.02568197250366211,0.0,0.36231884057971014,1,2.0,8060.1285579011865,77.87563824059117,claude_007.pcap,claude
"(17, '10.211.218.53', 56137, '10.211.218.77', 53)",2,178,0.02598404884338379,89.0,14.0,75,103,0.02598404884338379,0.0,0.42134831460674155,1,2.0,6850.356581180897,76.97029866495389,claude_007.pcap,claude
"(17, '10.211.218.53', 53468, '10.211.218.77', 53)",2,166,0.02511000633239746,83.0,8.0,75,91,0.02511000633239746,0.0,0.45180722891566266,1,2.0,6610.9103200752,79.64952192861686,claude_007.pcap,claude
"(6, '10.211.218.53', 62476, '34.54.194.141', 443)",3,120,0.0571589469909668,40.0,0.0,40,40,0.0285794734954834,0.028402328491210938,0.6666666666666666,1,3.0,2099.408864529369,52.48522161323422,claude_007.pcap,claude
"(17, '10.211.218.53', 56225, '10.211.218.77', 53)",2,186,0.26712703704833984,93.0,31.0,62,124,0.26712703704833984,0.0,0.3333333333333333,2,1.0,696.2979189798039,7.487074397632299,claude_007.pcap,claude
"(17, '10.211.218.53', 57133, '10.211.218.77', 53)",2,186,0.2668459415435791,93.0,31.0,62,124,0.2668459415435791,0.0,0.3333333333333333,2,1.0,697.0313991814037,7.49496128152047,claude_007.pcap,claude
"(17, '10.211.218.53', 63049, '10.211.218.77', 53)",2,140,0.26665711402893066,70.0,8.0,62,78,0.26665711402893066,0.0,0.44285714285714284,2,1.0,525.0188074292698,7.500268677560998,claude_007.pcap,claude
"(17, '10.211.218.53', 51992, '10.211.218.77', 53)",2,206,0.2956268787384033,103.0,41.0,62,144,0.2956268787384033,0.0,0.30097087378640774,2,1.0,696.8243242262383,6.765284701225615,claude_007.pcap,claude
"(17, '10.211.218.53', 53700, '10.211.218.77', 53)",2,189,0.2982170581817627,94.5,32.5,62,127,0.2982170581817627,0.0,0.328042328042328,2,1.0,633.766563027407,6.706524476480497,claude_007.pcap,claude
"(17, '10.211.218.53', 61571, '10.211.218.77', 53)",2,177,0.29778099060058594,88.5,26.5,62,115,0.29778099060058594,0.0,0.3502824858757062,2,1.0,594.3965719336677,6.716345445578166,claude_007.pcap,claude
"(17, '10.211.218.53', 58575, '10.211.218.77', 53)",2,207,0.2958190441131592,103.5,28.5,75,132,0.2958190441131592,0.0,0.36231884057971014,2,1.0,699.7521089981503,6.760889942011114,claude_007.pcap,claude
"(17, '10.211.218.53', 51336, '10.211.218.77', 53)",2,189,0.29543614387512207,94.5,32.5,62,127,0.29543614387512207,0.0,0.328042328042328,2,1.0,639.7321516621488,6.769652398541257,claude_007.pcap,claude
"(17, '10.211.218.53', 59184, '10.211.218.77', 53)",2,177,0.29518795013427734,88.5,26.5,62,115,0.29518795013427734,0.0,0.3502824858757062,2,1.0,599.6179719378277,6.775344315681669,claude_007.pcap,claude
"(6, '10.211.218.53', 65478, '34.120.108.227', 443)",66,73055,136.09061694145203,1106.8939393939395,2514.4979987506144,40,19080,2.093701799099262,9.439403986805813,0.049674902470741224,10,6.6,536.8114396265044,0.48497098097802044,claude_007.pcap,claude
"(17, '10.211.218.53', 52555, '10.211.218.77', 53)",2,145,0.07885599136352539,72.5,12.5,60,85,0.07885599136352539,0.0,0.41379310344827586,1,2.0,1838.7949665302074,25.362689193520104,claude_007.pcap,claude
"(17, '10.211.218.53', 58129, '10.211.218.77', 53)",2,344,0.08869719505310059,172.0,112.0,60,284,0.08869719505310059,0.0,0.1744186046511628,1,2.0,3878.363907607863,22.548627369813158,claude_007.pcap,claude
"(17, '10.211.218.53', 57060, '10.211.218.77', 53)",2,248,0.04945492744445801,124.0,64.0,60,188,0.04945492744445801,0.0,0.24193548387096775,1,2.0,5014.667148759335,40.44086410289786,claude_007.pcap,claude
"(17, '10.211.218.53', 52527, '10.211.218.77', 53)",2,177,0.08414816856384277,88.5,28.5,60,117,0.08414816856384277,0.0,0.3389830508474576,1,2.0,2103.4325882649605,23.767599867400683,claude_007.pcap,claude
"(17, '10.211.218.53', 59612, '10.211.218.77', 53)",2,148,0.0837550163269043,74.0,14.0,60,88,0.0837550163269043,0.0,0.40540540540540543,1,2.0,1767.0583385995776,23.87916673783213,claude_007.pcap,claude
"(17, '10.211.218.53', 59557, '10.211.218.77', 53)",2,136,0.08323097229003906,68.0,8.0,60,76,0.08323097229003906,0.0,0.4411764705882353,1,2.0,1634.0071040630658,24.029516236221554,claude_007.pcap,claude
"(17, '10.211.218.53', 51288, '10.211.218.77', 53)",2,177,0.08218097686767578,88.5,28.5,60,117,0.08218097686767578,0.0,0.3389830508474576,1,2.0,2153.7831107191346,24.336532324509996,claude_007.pcap,claude
"(17, '10.211.218.53', 64910, '10.211.218.77', 53)",2,148,0.08204102516174316,74.0,14.0,60,88,0.08204102516174316,0.0,0.40540540540540543,1,2.0,1803.9755074759157,24.378047398323186,claude_007.pcap,claude
"(17, '10.211.218.53', 58651, '10.211.218.77', 53)",2,136,0.08180499076843262,68.0,8.0,60,76,0.08180499076843262,0.0,0.4411764705882353,1,2.0,1662.490255453711,24.448386109613395,claude_007.pcap,claude
"(17, '10.211.218.53', 53497, '10.211.218.77', 53)",2,177,0.09869098663330078,88.5,28.5,60,117,0.09869098663330078,0.0,0.3389830508474576,1,2.0,1793.4768517176403,20.265275160651303,claude_007.pcap,claude
"(17, '10.211.218.53', 60211, '10.211.218.77', 53)",2,148,0.09707903861999512,74.0,14.0,60,88,0.09707903861999512,0.0,0.40540540540540543,1,2.0,1524.5309605849025,20.601769737633816,claude_007.pcap,claude
"(17, '10.211.218.53', 60821, '10.211.218.77', 53)",2,136,0.09815502166748047,68.0,8.0,60,76,0.09815502166748047,0.0,0.4411764705882353,1,2.0,1385.5633434703614,20.37593152162296,claude_007.pcap,claude
"(17, '10.211.218.53', 53191, '10.211.218.77', 53)",2,183,0.16392207145690918,91.5,26.5,65,118,0.16392207145690918,0.0,0.3551912568306011,2,1.0,1116.3841352999611,12.200919511474986,claude_007.pcap,claude
"(17, '10.211.218.53', 52507, '10.211.218.77', 53)",2,158,0.16362214088439941,79.0,14.0,65,93,0.16362214088439941,0.0,0.41139240506329117,2,1.0,965.6394858665765,12.223284631222487,claude_007.pcap,claude
"(17, '10.211.218.53', 64522, '10.211.218.77', 53)",2,146,0.16338014602661133,73.0,8.0,65,81,0.16338014602661133,0.0,0.4452054794520548,2,1.0,893.6214316776259,12.241389475035971,claude_007.pcap,claude
"(17, '10.211.218.53', 52502, '10.211.218.77', 53)",2,246,0.2884359359741211,123.0,45.0,78,168,0.2884359359741211,0.0,0.3170731707317073,2,1.0,852.8756972295972,6.933948757964205,claude_007.pcap,claude
"(17, '10.211.218.53', 59177, '10.211.218.77', 53)",2,184,0.0831460952758789,92.0,14.0,78,106,0.0831460952758789,0.0,0.42391304347826086,1,2.0,2212.972231461834,24.05404599415037,claude_007.pcap,claude
"(17, '10.211.218.53', 50780, '10.211.218.77', 53)",2,172,0.2870190143585205,86.0,8.0,78,94,0.2870190143585205,0.0,0.45348837209302323,2,1.0,599.2634334154313,6.96817945831897,claude_007.pcap,claude
"(17, '10.211.218.53', 58065, '10.211.218.77', 53)",2,206,0.14693498611450195,103.0,41.0,62,144,0.14693498611450195,0.0,0.30097087378640774,2,1.0,1401.980600042188,13.611462136331921,copilot_007.pcap,copilot
"(17, '10.211.218.53', 50061, '10.211.218.77', 53)",2,189,0.14708709716796875,94.5,32.5,62,127,0.14708709716796875,0.0,0.328042328042328,2,1.0,1284.9529539913897,13.597385756522641,copilot_007.pcap,copilot
"(17, '10.211.218.53', 53705, '10.211.218.77', 53)",2,177,0.14690709114074707,88.5,26.5,62,115,0.14690709114074707,0.0,0.3502824858757062,2,1.0,1204.8431333407987,13.614046704415806,copilot_007.pcap,copilot
"(17, '10.211.218.53', 59502, '10.211.218.77', 53)",2,207,0.14619016647338867,103.5,28.5,75,132,0.14619016647338867,0.0,0.36231884057971014,2,1.0,1415.9639118933535,13.680810742930952,copilot_007.pcap,copilot
"(17, '10.211.218.53', 55700, '10.211.218.77', 53)",2,189,0.1461491584777832,94.5,32.5,62,127,0.1461491584777832,0.0,0.328042328042328,2,1.0,1293.1993722613925,13.684649441919497,copilot_007.pcap,copilot
"(17, '10.211.218.53', 63189, '10.211.218.77', 53)",2,177,0.14595699310302734,88.5,26.5,62,115,0.14595699310302734,0.0,0.3502824858757062,2,1.0,1212.6859853509052,13.702666501140172,copilot_007.pcap,copilot
"(6, '10.211.218.53', 55254, '104.208.16.88', 443)",39465,35584222,172.65236687660217,901.6653237045483,648.5378936173531,40,1400,0.004374933277838084,0.09005068009253948,0.9850467153672771,238,165.81932773109244,206103.29672128212,228.58070650260106,copilot_007.pcap,copilot
