flow_key,total_packets,total_bytes,flow_duration,mean_packet_size,std_packet_size,min_packet_size,max_packet_size,mean_interarrival_time,std_interarrival_time,direction_ratio,burst_count,burst_avg_size,bytes_per_second,packets_per_second,source_pcap,label
"(17, '10.221.8.170', 53, '10.221.8.53', 54623)",2,177,0.6062510013580322,88.5,26.5,62,115,0.6062510013580322,0.0,0.3502824858757062,2,1.0,291.9582806519268,3.298963623185613,chatgpt_001.pcap,chatgpt
"(17, '10.221.8.170', 53, '10.221.8.53', 59071)",2,207,0.6060938835144043,103.5,28.5,75,132,0.6060938835144043,0.0,0.3623188405797101,2,1.0,341.53124727100214,3.299818814212581,chatgpt_001.pcap,chatgpt
"(17, '10.221.8.170', 53, '10.221.8.53', 49666)",2,189,0.6059410572052002,94.5,32.5,62,127,0.6059410572052002,0.0,0.328042328042328,2,1.0,311.9115262988289,3.30065107194528,chatgpt_001.pcap,chatgpt
"(17, '10.221.8.170', 53, '10.221.8.53', 65193)",2,177,0.6058220863342285,88.5,26.5,62,115,0.6058220863342285,0.0,0.3502824858757062,2,1.0,292.1649837347629,3.3012992512402586,chatgpt_001.pcap,chatgpt
"(6, '10.221.8.53', 51833, '51.11.168.232', 443)",37,24970,1.4845030307769775,674.8648648648649,989.4787916048492,40,3865,0.0412361952993604,0.0925071258148121,0.3725670804965959,7,5.285714285714286,16820.44393464855,24.92416602250686,chatgpt_001.pcap,chatgpt
"(6, '10.221.8.53', 54228, '51.11.168.232', 443)",21,5858,1.310533046722412,278.95238095238096,424.1191966541029,40,1315,0.0655266523361206,0.0942623137378967,0.2074086719016729,7,3.0,4469.936881523599,16.024014085352608,chatgpt_001.pcap,chatgpt
"(17, '10.221.8.170', 53, '10.221.8.53', 49276)",16,2364,8.23713493347168,147.75,77.84399463028603,60,260,0.549142328898112,0.7620230452197493,0.25,9,1.7777777777777777,286.99299199213823,1.9424229576456056,chatgpt_001.pcap,chatgpt
"(17, '10.221.8.170', 53, '10.221.8.53', 57506)",12,1681,8.236318111419678,140.08333333333334,68.29526378567957,60,228,0.7487561919472434,0.9610197446198724,0.2599643069601428,8,1.5,204.09605083966932,1.4569616954646236,chatgpt_001.pcap,chatgpt
"(6, '10.221.8.53', 54231, '132.196.74.211', 443)",70,59734,3.3082218170166016,853.3428571428572,1434.9324512296168,40,8965,0.0479452437248782,0.1309509226788271,0.4903070278233501,10,7.0,18056.225762354992,21.159403411203822,chatgpt_001.pcap,chatgpt
"(6, '10.221.8.53', 54232, '51.11.168.232', 443)",26,9673,1.4657959938049316,372.0384615384616,611.6144135224434,40,2590,0.0586318397521972,0.1152859124149334,0.1969399359040628,6,4.333333333333333,6599.144792919446,17.737802606834034,chatgpt_001.pcap,chatgpt
"(6, '10.221.8.53', 54233, '52.185.211.133', 443)",31,11938,1.9849209785461424,385.0967741935484,610.5455706665655,40,2590,0.0661640326182047,0.1268547874349158,0.5889596247277601,7,4.428571428571429,6014.345220303934,15.61775019512665,chatgpt_001.pcap,chatgpt
"(6, '10.221.8.53', 54234, '52.185.211.133', 443)",23,6532,2.274863004684448,284.0,567.7712337843856,40,2590,0.1034028638492931,0.163096529864199,0.2766380894060012,7,3.2857142857142856,2871.381699271192,10.110498941095743,chatgpt_001.pcap,chatgpt
"(6, '10.221.8.53', 54235, '20.44.239.154', 443)",22,6493,0.5922460556030273,295.1363636363636,578.1310244269534,40,2590,0.0282021931239536,0.0397477749882965,0.272293238872632,3,7.333333333333333,10963.348659855235,37.14672270396045,chatgpt_001.pcap,chatgpt
"(6, '10.221.8.53', 54236, '20.44.239.154', 443)",23,6536,0.4434750080108642,284.17391304347825,425.666398483286,40,1315,0.0201579549095847,0.0338515084618034,0.2709608323133415,3,7.666666666666667,14738.147318190884,51.86312550770966,chatgpt_001.pcap,chatgpt
"(6, '10.221.8.53', 54237, '52.182.141.63', 443)",25,8336,2.3504879474639893,333.44,584.8821474451071,40,2590,0.0979369978109995,0.171078915895923,0.3747600767754319,7,3.571428571428572,3546.497657643365,10.636089424314315,chatgpt_001.pcap,chatgpt
"(6, '10.221.8.53', 54238, '20.44.239.154', 443)",27,6753,1.2952489852905271,250.11111111111111,402.1677679529365,40,1315,0.0498172686650202,0.0785279597674742,0.2754331408262994,9,3.0,5213.66940000751,20.845412972042467,chatgpt_001.pcap,chatgpt
"(6, '10.221.8.53', 54239, '20.44.239.154', 443)",24,6577,1.0719640254974363,274.0416666666667,557.6855056964354,40,2590,0.0466071315433668,0.0807239988277784,0.2826516648928083,6,4.0,6135.467089903502,22.388811032033452,chatgpt_001.pcap,chatgpt
"(6, '10.221.8.53', 54240, '20.44.239.154', 443)",26,7926,1.0057268142700195,304.84615384615387,453.2286477050978,40,1315,0.0402290725708007,0.0732024825079818,0.2432500630835226,6,4.333333333333333,7880.867734199649,25.851950679938287,chatgpt_001.pcap,chatgpt
"(6, '10.221.8.53', 54242, '135.232.92.97', 443)",304,239999,8.275400876998901,789.4703947368421,630.1243500230328,40,2590,0.0273115540495013,0.249499163112476,0.9467456114400477,13,23.384615384615383,29001.495343514565,36.73538049920386,chatgpt_001.pcap,chatgpt
"(6, '10.221.8.53', 54243, '20.44.239.154', 443)",23,5949,1.0321481227874756,258.6521739130435,556.2624973639109,40,2590,0.046915823763067,0.0776325197569703,0.2057488653555219,5,4.6,5763.707619729817,22.283623340693527,chatgpt_001.pcap,chatgpt
"(17, '10.221.8.170', 53, '10.221.8.53', 53982)",2,334,0.1592350006103515,167.0,90.0,77,257,0.1592350006103515,0.0,0.2305389221556886,2,1.0,2097.5288015811225,12.560052704078576,chatgpt_001.pcap,chatgpt
"(6, '10.221.8.53', 54244, '20.44.239.154', 443)",22,6395,0.7542729377746582,290.6818181818182,574.2174426883978,40,2590,0.0359177589416503,0.054550213012338,0.2597341673182173,5,4.4,8478.36330820413,29.16716071626128,chatgpt_001.pcap,chatgpt
"(6, '10.221.8.53', 54245, '20.44.239.154', 443)",24,7744,0.4787437915802002,322.6666666666667,605.0780711794324,40,2590,0.0208149474600087,0.0383368751228602,0.2636880165289256,3,8.0,16175.666684760983,50.13119840318487,chatgpt_001.pcap,chatgpt
"(6, '10.221.8.53', 54246, '20.44.239.154', 443)",23,6521,0.8454728126525879,283.5217391304348,567.3256766976564,40,2590,0.0384305823932994,0.0647145048600177,0.2754178806931452,4,5.75,7712.844106176522,27.20371330195676,chatgpt_001.pcap,chatgpt
"(6, '10.221.8.53', 54247, '20.44.239.154', 443)",23,6538,0.5186960697174072,284.2608695652174,429.1257257131167,40,1315,0.0235770940780639,0.0407543023526759,0.2837259100642398,3,7.666666666666667,12604.683902004486,44.34195927594114,chatgpt_001.pcap,chatgpt
"(6, '10.221.8.53', 54248, '20.44.239.154', 443)",21,6412,0.5892410278320312,305.3333333333333,589.8594936272724,40,2590,0.0294620513916015,0.040635418831175,0.2758889582033687,3,7.0,10881.79488042676,35.63906620227105,chatgpt_001.pcap,chatgpt
"(17, '10.221.8.170', 53, '10.221.8.53', 51394)",6,870,3.910720109939575,145.0,68.67313885355759,75,215,0.782144021987915,1.0417036743000216,0.2632183908045977,5,1.2,222.4654221069895,1.5342442903930311,chatgpt_001.pcap,chatgpt
"(6, '10.221.8.53', 54249, '20.44.239.154', 443)",30,11313,0.5982518196105957,377.1,614.1167831392768,40,2590,0.0206293730900205,0.0379656272807275,0.5753557853796517,3,10.0,18910.09710152436,50.14610740261034,chatgpt_001.pcap,chatgpt
"(6, '10.221.8.53', 54250, '20.44.239.154', 443)",21,6102,0.5619330406188965,290.57142857142856,579.1248382095976,40,2590,0.0280966520309448,0.0382710866924259,0.2322189446083251,2,10.5,10858.9450324534,37.37100060333028,chatgpt_001.pcap,chatgpt
"(17, '10.221.8.170', 53, '10.221.8.53', 58351)",2,335,0.2365028858184814,167.5,92.5,75,260,0.2365028858184814,0.0,0.2238805970149253,2,1.0,1416.4732021795123,8.456556430922461,chatgpt_001.pcap,chatgpt
"(6, '10.221.8.53', 54251, '52.182.141.63', 443)",28,8645,2.21296501159668,308.75,741.8012645388443,40,3865,0.0819616670961733,0.1497369928253415,0.3971081550028918,7,4.0,3906.523580218077,12.652707952123327,chatgpt_001.pcap,chatgpt
"(17, '10.221.8.170', 53, '10.221.8.53', 56373)",18,2646,25.40990209579468,147.0,80.63773585886725,63,288,1.4947001232820398,2.3981166394108056,0.246787603930461,9,2.0,104.132632625842,0.7083852559581089,chatgpt_001.pcap,chatgpt
"(6, '10.221.8.53', 54252, '20.44.239.154', 443)",32,13291,1.2327218055725098,415.34375,528.2352464441742,40,1315,0.039765219534597,0.0802112854135089,0.5470619216010835,7,4.571428571428571,10781.832478275415,25.95881719244702,chatgpt_001.pcap,chatgpt
"(6, '10.221.8.53', 54253, '20.44.239.154', 443)",35,22701,0.6933231353759766,648.6,957.206298110735,40,3865,0.0203918569228228,0.043824122072675,0.3151843531121977,2,17.5,32742.30851634521,50.48151174274624,chatgpt_001.pcap,chatgpt
"(6, '10.221.8.53', 54254, '20.44.239.154', 443)",24,6349,0.6677489280700684,264.5416666666667,414.1049564187267,40,1315,0.0290325620900029,0.0402173699264802,0.190423688769885,2,12.0,9508.064682859042,35.94165260491684,chatgpt_001.pcap,chatgpt
"(6, '10.221.8.53', 54255, '20.44.239.154', 443)",23,5974,0.7805290222167969,259.7391304347826,556.2396431779401,40,2590,0.0354785919189453,0.0613172204978777,0.2023769668563776,4,5.75,7653.78330588287,29.467193845883163,chatgpt_001.pcap,chatgpt
"(6, '10.221.8.53', 54256, '20.44.239.154', 443)",30,10595,0.7653889656066895,353.1666666666667,502.99052895876895,40,1315,0.0263927229519548,0.0570631928487943,0.1252477583765927,3,10.0,13842.634890355152,39.19575712228925,chatgpt_001.pcap,chatgpt
"(17, '10.221.8.170', 53, '10.221.8.53', 53362)",22,3397,62.4593198299408,154.4090909090909,87.6515099133075,63,305,2.974253325235276,8.375290150344542,0.2322637621430674,11,2.0,54.38739981877929,0.3522292599391064,chatgpt_001.pcap,chatgpt
"(6, '10.221.8.53', 54257, '20.44.239.154', 443)",26,6365,0.7256989479064941,244.80769230769232,402.1268474987587,40,1315,0.0290279579162597,0.0574460229177529,0.1987431264728986,3,8.666666666666666,8770.854661374164,35.82752886028723,chatgpt_001.pcap,chatgpt
"(6, '10.221.8.53', 54259, '20.24.143.250', 443)",18,7872,0.8355300426483154,437.3333333333333,1155.1575169165842,40,5140,0.0491488260381362,0.0988881452083444,0.1778455284552845,3,6.0,9421.564274396078,21.543210993283715,chatgpt_001.pcap,chatgpt
"(6, '10.221.8.53', 54262, '204.79.197.203', 80)",9,2978,68.58406782150269,330.8888888888889,479.72988799125153,40,1315,8.573008477687836,22.63976669731549,0.141370047011417,2,4.5,43.42116317379367,0.1312258121437686,chatgpt_001.pcap,chatgpt
"(6, '10.221.8.53', 54264, '20.44.239.154', 443)",23,6983,0.5649380683898926,303.60869565217394,462.80155754223216,40,1315,0.0256790031086314,0.0359560957557166,0.3223542889875411,2,11.5,12360.646928789858,40.71242723215906,chatgpt_001.pcap,chatgpt
"(6, '10.221.8.53', 54265, '20.44.239.154', 443)",30,11157,0.5810050964355469,371.9,615.688522441881,40,2590,0.0200346584977774,0.0345123925940484,0.5663708882316035,3,10.0,19202.92966180149,51.634658945419446,chatgpt_001.pcap,chatgpt
"(6, '10.221.8.53', 54266, '20.44.239.154', 443)",31,11889,0.5720901489257812,383.5161290322581,515.6042412653547,40,1315,0.0190696716308593,0.0332074381257552,0.5857515350323829,2,15.5,20781.68977795559,54.18726411949056,chatgpt_001.pcap,chatgpt
"(6, '10.221.8.53', 54267, '20.44.239.154', 443)",24,6846,0.4746060371398926,285.25,436.7468994356648,40,1315,0.0206350450930388,0.0293792996711326,0.2968156587788489,1,24.0,14424.595273283694,50.56825687391304,chatgpt_001.pcap,chatgpt
"(6, '10.221.8.53', 54268, '20.44.239.154', 443)",22,6432,0.5801260471343994,292.3636363636364,575.753304609357,40,2590,0.0276250498635428,0.0390279905808658,0.2653917910447761,2,11.0,11087.245662854852,37.92279300105827,chatgpt_001.pcap,chatgpt
"(6, '10.221.8.53', 54269, '20.44.239.154', 443)",23,6600,0.5163168907165527,286.95652173913044,569.9142176687164,40,2590,0.0234689495780251,0.0402445758179556,0.2839393939393939,3,7.666666666666667,12782.84735337714,44.54628623146579,chatgpt_001.pcap,chatgpt
"(6, '10.221.8.53', 54270, '20.44.239.154', 443)",24,6600,0.516883134841919,275.0,558.2115787644203,40,2590,0.0224731797757356,0.0366550590240687,0.2771212121212121,2,12.0,12768.843777459508,46.43215919076184,chatgpt_001.pcap,chatgpt
"(6, '10.221.8.53', 54271, '20.44.239.154', 443)",26,6790,0.5483388900756836,261.15384615384613,414.31943197969406,40,1315,0.0219335556030273,0.0346743850332533,0.2910162002945508,2,13.0,12382.853237097264,47.41593286664638,chatgpt_001.pcap,chatgpt
"(6, '10.221.8.53', 54272, '20.44.239.154', 443)",23,8032,0.3944668769836426,349.2173913043478,618.1989940296585,40,2590,0.0179303125901655,0.0305116610220804,0.1527639442231075,1,23.0,20361.65890890013,58.306543190326586,chatgpt_001.pcap,chatgpt
"(6, '10.221.8.53', 54273, '20.44.239.154', 443)",25,8041,0.4405560493469238,321.64,589.5639663344429,40,2590,0.0183565020561218,0.0337632325824013,0.4074120134311653,2,12.5,18251.93414531455,56.74646855277499,chatgpt_001.pcap,chatgpt
"(6, '10.221.8.53', 54274, '20.44.239.154', 443)",23,6803,0.6770830154418945,295.7826086956522,580.9183850872041,40,2590,0.0307765007019042,0.0454369460109229,0.3041305306482434,4,5.75,10047.512409626845,33.96924671783293,chatgpt_001.pcap,chatgpt
"(6, '10.221.8.53', 54275, '20.44.239.154', 443)",22,5947,0.5138130187988281,270.3181818181818,566.7164904769513,40,2590,0.024467286609468,0.0335127751618525,0.2054817555069783,1,22.0,11574.249352230629,42.81713229343767,chatgpt_001.pcap,chatgpt
"(17, '10.221.8.170', 53, '10.221.8.53', 60525)",2,218,0.0575649738311767,109.0,37.0,72,146,0.0575649738311767,0.0,0.3302752293577982,1,2.0,3787.0250864586137,34.743349417051505,chatgpt_001.pcap,chatgpt
"(17, '10.221.8.170', 53, '10.221.8.53', 55448)",2,218,0.0570809841156005,109.0,37.0,72,146,0.0570809841156005,0.0,0.3302752293577982,1,2.0,3819.135275567529,35.03793830795898,chatgpt_001.pcap,chatgpt
"(17, '10.221.8.170', 53, '10.221.8.53', 52801)",2,424,0.0628931522369384,212.0,140.0,72,352,0.0628931522369384,0.0,0.1698113207547169,1,2.0,6741.592445591808,31.7999643659991,chatgpt_001.pcap,chatgpt
"(17, '10.221.8.53', 57441, '142.250.182.78', 443)",22,10833,0.2883710861206054,492.4090909090909,521.5438322981727,52,1278,0.0137319564819335,0.0269406321704568,0.4307209452598541,1,22.0,37566.17955611997,76.29058896285787,chatgpt_001.pcap,chatgpt
"(6, '10.221.8.53', 54276, '20.44.239.154', 443)",23,6553,0.5853731632232666,284.9130434782609,568.3460300115306,40,2590,0.026607871055603,0.03979473688379,0.2775827865099954,3,7.666666666666667,11194.568544818354,39.29117603095104,chatgpt_001.pcap,chatgpt
"(6, '10.221.8.53', 54277, '20.44.239.154', 443)",24,6844,0.5950558185577393,285.1666666666667,436.5303222254122,40,1315,0.025871992111206,0.037898017734241,0.3023085914669783,2,12.0,11501.442027048955,40.33235076697471,chatgpt_001.pcap,chatgpt
"(17, '10.221.8.170', 53, '10.221.8.53', 56554)",2,219,0.0396418571472168,109.5,43.5,66,153,0.0396418571472168,0.0,0.3013698630136986,1,2.0,5524.463679557346,50.45172310098033,chatgpt_001.pcap,chatgpt
"(17, '10.221.8.170', 53, '10.221.8.53', 53042)",2,202,0.0023200511932373,101.0,35.0,66,136,0.0023200511932373,0.0,0.3267326732673267,1,2.0,87067.04429143973,862.0499434796013,chatgpt_001.pcap,chatgpt
"(17, '10.221.8.170', 53, '10.221.8.53', 64069)",2,190,0.0023541450500488,95.0,29.0,66,124,0.0023541450500488,0.0,0.3473684210526316,1,2.0,80708.70569171562,849.5653230706907,chatgpt_001.pcap,chatgpt
"(6, '10.221.8.53', 54278, '20.44.239.154', 443)",24,6662,0.5355639457702637,277.5833333333333,561.8846201747195,40,2590,0.0232853889465332,0.0340047724111847,0.284749324527169,2,12.0,12439.224209573176,44.81257595763378,chatgpt_001.pcap,chatgpt
"(6, '10.221.8.53', 54279, '20.44.239.154', 443)",23,6232,0.5516259670257568,270.95652173913044,558.7277067441293,40,2590,0.0250739075920798,0.0379961099265302,0.2418164313222079,3,7.666666666666667,11297.510219835269,41.69491897564364,chatgpt_001.pcap,chatgpt
"(6, '10.221.8.53', 54280, '20.44.239.154', 443)",23,6596,0.6424391269683838,286.7826086956522,569.9570507481616,40,2590,0.0292017784985629,0.0415085722258546,0.2812310491206792,3,7.666666666666667,10267.120608182708,35.80105730567045,chatgpt_001.pcap,chatgpt
"(6, '10.221.8.53', 54281, '20.44.239.154', 443)",24,9757,0.4595899581909179,406.5416666666667,636.2643566924226,40,2590,0.0199821720952573,0.0374926188662639,0.3305319257968638,2,12.0,21229.79370220889,52.220462114688274,chatgpt_001.pcap,chatgpt
"(6, '10.221.8.53', 54282, '20.44.239.154', 443)",29,11819,0.6382589340209961,407.5517241379311,623.7349451548888,40,2590,0.0227949619293212,0.0438605233892122,0.5893053557830612,2,14.5,18517.56296702492,45.436105088731935,chatgpt_001.pcap,chatgpt
"(6, '10.221.8.53', 54283, '20.44.239.154', 443)",28,11517,0.8723759651184082,411.32142857142856,628.5391255904116,40,2590,0.0323102209303114,0.058671253251802,0.5899105669879309,7,4.0,13201.876783064272,32.096253358148786,chatgpt_001.pcap,chatgpt
